ID,Cam,Grab
513,51.23190579935908,51.232943058013916
514,51.331968016922474,51.33251118659973
515,51.43203051574528,51.43254899978638
516,51.53209273144603,51.53244400024414
517,51.632155027240515,51.63250112533569
518,51.732217244803905,51.73274612426758
519,51.83227978460491,51.83287811279297
520,51.93234200030565,51.932873010635376
521,52.03240425698459,52.0330331325531
522,52.13246671669185,52.13313007354736
523,52.23252901248634,52.233150005340576
524,52.332591228187084,52.332996129989624
525,52.43265348114073,52.43322706222534
526,52.53271594271064,52.53298306465149
527,52.632778238505125,52.63324308395386
528,52.73284045420587,52.73299813270569
529,52.83290299400687,52.831084966659546
530,52.932965168729424,52.933380126953125
531,53.03302746452391,53.03330898284912
532,53.13308968022466,53.13347911834717
533,53.23315218091011,53.2335159778595
534,53.33321464061737,53.33351397514343
535,53.43327669240534,53.433709144592285
536,53.53333890810609,53.53386402130127
537,53.63340144790709,53.633979082107544
538,53.7334638684988,53.73377513885498
539,53.83352591842413,53.83386206626892
540,53.933588379994035,53.93404412269592
541,54.03365067392588,54.03418517112732
542,54.13371288962662,54.134135007858276
543,54.233775144442916,54.234217166900635
544,54.333837646991014,54.3343780040741
545,54.43389989994466,54.434463024139404
546,54.53396211564541,54.53427314758301
547,54.63402437232435,54.634608030319214
548,54.734086871147156,54.73463201522827
549,54.834149127826095,54.83486199378967
550,54.93421134352684,54.93470597267151
551,55.03427363932133,55.034818172454834
552,55.13433610089123,55.134912967681885
553,55.234398355707526,55.235008001327515
554,55.33446057140827,55.33510208129883
555,55.43452311120927,55.43507719039917
556,55.534585328772664,55.53505897521973
557,55.63464758172631,55.63513398170471
558,55.734709553420544,55.73528599739075
559,55.83477233722806,55.83538007736206
560,55.93483455479145,55.935463190078735
561,56.03489685058594,56.03551411628723
562,56.1349593102932,56.135526180267334
563,56.235021563246846,56.235507011413574
564,56.33508378081024,56.33566117286682
565,56.435146279633045,56.43560814857483
566,56.53520849533379,56.53599715232849
567,56.63527079299092,56.63579297065735
568,56.73533300869167,56.73590397834778
569,56.835395304486156,56.83571815490723
570,56.935457764193416,56.93599200248718
571,57.035520017147064,57.03601408004761
572,57.1355822365731,57.136358976364136
573,57.23564477451146,57.23618817329407
574,57.33570699207485,57.3361451625824
575,57.43576928600669,57.43627119064331
