Run,Troupe,Day,Block,Trial,CRturn_W1,CRturn_W2,CRturn_W3,CRturn_W4,CRturn_W5,CRturn_W6,CRcon_W1,CRcon_W2,CRcon_W3,CRcon_W4,CRcon_W5,CRcon_W6,UCRturn_W1,UCRturn_W2,UCRturn_W3,UCRturn_W4,UCRturn_W5,UCRturn_W6,UCRcon_W1,UCRcon_W2,UCRcon_W3,UCRcon_W4,UCRcon_W5,UCRcon_W6,Notes
2025_10_14_14_25_09_trial_1_TC,TC-7,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_15_10_20_58_trial_1_TC,TC-7,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_15_14_30_16_trial_1_TC,TC-7,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_16_10_10_37_trial_1_TC,TC-7,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_16_14_28_16_trial_1_TC,TC-7,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
2025_10_17_10_18_17_trial_1_TC,TC-7,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
,TC-7,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
