video,session,Troupe,Day,Block,worm_regions,n_CSon_frames,n_CSoff_frames,KL,KL_per_feature,Areas_KL,Area_percentages_KL,Perimeters_KL,Area_perimeter_ratios_KL,Circularities_KL,Hull_areas_KL,Centroidxs_KL,Centroidys_KL,Angles_KL,Concavities_KL,PC1_KL,PC2_KL
2025_10_14_10_35_03_trial_1_TC_regions_635_407_866_1364_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_10_35_03_trial_1_TC,,,,635_407_866_1364,825,956,1.4663138186008986,"[0.04052247 0.04012652 0.18295876 0.35794251 0.61623954 0.00080707
 0.00151441 0.00566856 0.19302655 0.00558477 0.01674734 0.00517531]",0.0405224680365035,0.04012652014381657,0.18295875959104746,0.35794251165113466,0.6162395407958168,0.0008070748552413409,0.0015144090825830459,0.005668564854975688,0.19302655443663874,0.005584765231961053,0.01674734347552287,0.005175306445657224
2025_10_14_10_35_03_trial_1_TC_regions_866_391_1105_1370_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_10_35_03_trial_1_TC,,,,866_391_1105_1370,825,956,1.4195521131772817,"[0.19516093 0.04424688 0.05786662 0.03639992 0.11407731 0.0305353
 0.55532615 0.01194976 0.02654679 0.00290103 0.00947371 0.3350677 ]",0.19516093496165088,0.044246878464253125,0.057866624204689465,0.036399915868663646,0.11407731329915549,0.030535303803492786,0.5553261474887883,0.011949759766920365,0.026546790722151936,0.002901027328984007,0.00947371308817746,0.33506770418035425
2025_10_14_10_47_52_trial_1_TP_regions_1042_571_1302_1492_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_10_47_52_trial_1_TP,,,,1042_571_1302_1492,548,1233,3.6597003517937594,"[0.10041531 0.11462999 0.11444225 0.06592239 0.02185716 0.76523896
 0.32658427 1.6277671  0.04635751 0.41093627 0.01708173 0.0484674 ]",0.1004153117810419,0.11462999001435681,0.11444224709019091,0.06592239223493335,0.021857159388033676,0.7652389622804971,0.32658427169201,1.627767101229872,0.04635751454255588,0.4109362720789238,0.017081727863514917,0.04846740159782903
2025_10_14_10_47_52_trial_1_TP_regions_1289_569_1507_1494_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_10_47_52_trial_1_TP,,,,1289_569_1507_1494,548,1233,1.7137575818651345,"[0.16411258 0.16636126 0.22971908 0.16016672 0.58054529 0.05479456
 0.24839253 0.01411528 0.05116341 0.00307707 0.02677989 0.01452991]",0.16411258355475256,0.166361264412348,0.22971907834406946,0.1601667164125652,0.5805452854833968,0.05479455502905506,0.2483925326298415,0.014115278377269225,0.05116341495084853,0.00307706618221959,0.026779893115827624,0.014529913372941183
2025_10_14_10_47_52_trial_1_TP_regions_318_545_574_1492_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_10_47_52_trial_1_TP,,,,318_545_574_1492,548,1233,2.512832349798794,"[0.01481922 0.02744539 0.26096616 0.05315817 0.52619321 0.00578727
 1.15287155 0.02705858 0.24395141 0.02802469 0.01573501 0.15682168]",0.01481922017524806,0.02744538864827073,0.260966157018225,0.05315817147606461,0.5261932115118657,0.005787272997634818,1.1528715495764092,0.027058581327251696,0.2439514116662942,0.02802469085885595,0.015735013481001148,0.15682168106167338
2025_10_14_10_47_52_trial_1_TP_regions_563_558_813_1484_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_10_47_52_trial_1_TP,,,,563_558_813_1484,548,1233,1.12096175232423,"[0.09746917 0.08893872 0.01760031 0.05001994 0.07311884 0.3826052
 0.04291061 0.11990837 0.02940494 0.03644591 0.07233727 0.11020247]",0.09746917182180947,0.0889387160556705,0.017600311733335983,0.050019935453577635,0.07311884062584972,0.38260519907551194,0.04291061467957946,0.11990837155378276,0.02940494145799999,0.03644591254383489,0.07233727005151946,0.11020246727175809
2025_10_14_10_47_52_trial_1_TP_regions_802_563_1066_1489_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_10_47_52_trial_1_TP,,,,802_563_1066_1489,548,1233,5.081700490121588,"[2.43298015e-01 1.82497794e-01 1.24573485e-01 1.50636788e+00
 1.39022255e+00 4.26585454e-01 4.67667858e-01 4.95914543e-02
 4.39729684e-01 8.99828290e-02 1.61114958e-01 6.85285879e-05]",0.24329801520342542,0.18249779352700846,0.12457348471724816,1.5063678779630956,1.3902225536729487,0.4265854538590417,0.46766785785625875,0.04959145431578249,0.43972968377297317,0.0899828289503043,0.16111495769565243,6.85285878507802e-05
2025_10_14_10_47_52_trial_1_TP_regions_81_542_316_1478_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_10_47_52_trial_1_TP,,,,81_542_316_1478,548,1233,1.6009485306388553,"[2.04097849e-01 1.98419220e-01 4.08482660e-02 1.09849621e-01
 9.22963388e-02 1.53468383e-01 4.31220638e-01 2.26121686e-02
 2.96681425e-01 4.74701165e-02 3.70387507e-03 2.80629624e-04]",0.2040978489433075,0.19841922017051694,0.04084826598723035,0.10984962076174831,0.09229633883783817,0.15346838314306344,0.43122063827087764,0.022612168551743306,0.29668142474277304,0.04747011653309352,0.003703875072533336,0.0002806296241297801
2025_10_14_11_00_58_trial_1_TP_regions_1026_540_1254_1469_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_11_00_58_trial_1_TP,,,,1026_540_1254_1469,548,1233,1.4578070152390628,"[0.04940365 0.02748816 0.0180709  0.77827504 0.2829563  0.01734233
 0.15010546 0.06704262 0.00910052 0.00718225 0.042885   0.00795478]",0.04940364576685807,0.027488158256661843,0.018070902588335547,0.7782750429059548,0.2829562984101617,0.01734233437236221,0.15010546295564609,0.06704262082896884,0.009100522670210887,0.007182248623103793,0.042884999764993825,0.007954778095805248
2025_10_14_11_00_58_trial_1_TP_regions_1257_543_1491_1479_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_11_00_58_trial_1_TP,,,,1257_543_1491_1479,548,1233,1.8236914298126772,"[0.3331737  0.30451593 0.07649701 0.10098607 0.03412883 0.10585466
 0.42476015 0.02338685 0.13987389 0.16602816 0.03299237 0.0814938 ]",0.33317370355855247,0.3045159327701822,0.0764970054748505,0.1009860684507653,0.03412883210163953,0.10585466148411471,0.42476015226303665,0.023386851466044023,0.13987389240102943,0.1660281602771696,0.032992366518513117,0.08149380304677978
2025_10_14_11_00_58_trial_1_TP_regions_308_527_539_1469_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_11_00_58_trial_1_TP,,,,308_527_539_1469,548,1233,1.8991773373358676,"[0.02564051 0.0214872  0.28890507 0.23961998 0.72575743 0.00421811
 0.05159998 0.24019713 0.04595374 0.02241024 0.22230942 0.01107852]",0.02564050897756842,0.02148719754446826,0.2889050729386913,0.23961998374159255,0.7257574343632929,0.004218107635551527,0.051599976377984524,0.2401971328093191,0.04595373993697072,0.022410241553390664,0.22230941671094973,0.011078524746087837
2025_10_14_11_00_58_trial_1_TP_regions_547_522_770_1471_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_11_00_58_trial_1_TP,,,,547_522_770_1471,548,1233,2.4671584949382375,"[0.15688787 0.19378233 0.64217422 0.02933219 0.85530253 0.11231711
 0.00116876 0.07859954 0.03155821 0.03861375 0.2870117  0.04041029]",0.1568878701703219,0.19378232651951055,0.6421742206212169,0.029332193297191056,0.8553025263318823,0.11231711046362602,0.0011687648127901573,0.07859954248428591,0.03155821087108335,0.038613748720680685,0.2870116951180677,0.04041028552758119
2025_10_14_11_00_58_trial_1_TP_regions_65_524_294_1458_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_11_00_58_trial_1_TP,,,,65_524_294_1458,548,1233,2.2579244138018657,"[1.16171061e-01 1.18127369e-01 8.80209838e-02 3.37758635e-04
 1.90199906e-01 3.66747137e-01 4.99460299e-01 4.69180979e-01
 2.56103380e-01 8.90650624e-02 1.51734663e-02 4.93370114e-02]",0.1161710613240663,0.11812736861334472,0.08802098382282897,0.00033775863478890944,0.19019990637281725,0.36674713650444823,0.4994602985136093,0.46918097942346226,0.2561033804447056,0.0890650624451863,0.015173466327703555,0.04933701137490387
