Run,group_day,Trough,BlockNum,BlockType,Trial,W1,W2,W3,W4,W5,W6,Well 1 aligned,Well 2 aligned,Well 3 aligned,Well 4 aligned,Well 5 aligned,Well 6 aligned,Well 1 quiescent,Well 2 quiescent,Well 3 quiescent,Well 4 quiescent,Well 5 quiescent,Well 6 quiescent,Scored by,Notes
,,,3,PC,10,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,ZK,
,,,3,PC,11,0,0,1,0,0,1,,,,,,,0,1,0,0,1,0,ZK,
,,,3,PC,12,0,0,0,0,0,0,,,,,,,1,1,0,0,0,0,ZK,Light stimuli ended here.
,,,3,PC,13,,,,,,,,,,,,,,,,,,,,
,,,3,PC,14,,,,,,,,,,,,,,,,,,,,
,,,3,PC,15,,,,,,,,,,,,,,,,,,,,
,,,3,PC,16,,,,,,,,,,,,,,,,,,,,
,,,3,PC,17,,,,,,,,,,,,,,,,,,,,
,,,3,PC,18,,,,,,,,,,,,,,,,,,,,
,,,3,PC,19,,,,,,,,,,,,,,,,,,,,
,,,3,PC,20,,,,,,,,,,,,,,,,,,,,
,,,3,PC,21,,,,,,,,,,,,,,,,,,,,
,,,3,PC,22,,,,,,,,,,,,,,,,,,,,
,,,3,PC,23,,,,,,,,,,,,,,,,,,,,
,,,3,PC,24,,,,,,,,,,,,,,,,,,,,
,,,3,PC,25,,,,,,,,,,,,,,,,,,,,
2025_02_06_13_01_53_trial_1_PC,R2_1,Milled trough + attached electrodes,4,PC,1,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,ZK,
,,20 trials ,4,PC,2,0,0,0,0,0,0,,,,,,,1,1,0,0,1,1,ZK,
,,20s ITI,4,PC,3,0,0,0,0,0,0,,,,,,,1,1,0,0,1,1,ZK,
,,0 = no response,4,PC,4,0,0,0,0,0,0,,,,,,,1,1,0,0,1,1,ZK,
,,1 = head turn,4,PC,5,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,ZK,
,,2 = contraction,4,PC,6,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,ZK,
,,3 = contraction + turn ,4,PC,7,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,ZK,
,,X = quiescent,4,PC,8,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,ZK,
,,"H = hidden, occluded",4,PC,9,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,ZK,
,,,4,PC,10,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,ZK,
,,,4,PC,11,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,ZK,
,,,4,PC,12,0,0,0,0,0,0,,,,,,,1,1,0,1,1,1,ZK,
,,,4,PC,13,,,,,,,,,,,,,,,,,,,,
,,,4,PC,14,,,,,,,,,,,,,,,,,,,,
,,,4,PC,15,,,,,,,,,,,,,,,,,,,,
,,,4,PC,16,,,,,,,,,,,,,,,,,,,,
,,,4,PC,17,,,,,,,,,,,,,,,,,,,,
,,,4,PC,18,,,,,,,,,,,,,,,,,,,,
,,,4,PC,19,,,,,,,,,,,,,,,,,,,,
,,,4,PC,20,,,,,,,,,,,,,,,,,,,,
,,,4,PC,21,,,,,,,,,,,,,,,,,,,,
,,,4,PC,22,,,,,,,,,,,,,,,,,,,,
,,,4,PC,23,,,,,,,,,,,,,,,,,,,,
,,,4,PC,24,,,,,,,,,,,,,,,,,,,,
,,,4,PC,25,,,,,,,,,,,,,,,,,,,,
2025_02_06_14_05_11_trial_1_LO,R3_1,Milled trough + attached electrodes,1,LO,1,0,0,0,0,0,0,,,,,,,0,0,1,1,0,0,MCS,
,,20 trials ,1,LO,2,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0,MCS,
,,20s ITI,1,LO,3,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0,MCS,
,,All CRs are turns or contractions,1,LO,4,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0,MCS,
,,CC Med,1,LO,5,0,0,0,0,1,1,,,,,,,0,0,1,0,0,0,MCS,
