Run,group_day,Trough,BlockNum,BlockType,Trial,W1,W2,W3,W4,W5,W6,,,,,
2025_02_06_16_12_21_trial_1_LO,R4_1,Milled trough + attached electrodes,1,LO,1,0,0,0,0,0,0,,,,,
,,20 trials ,1,LO,2,1,0,1,1,0,0,,,,,
,,20s ITI,1,LO,3,0,0,0,-1,0,0,,,,,
,,All CRs are turns or contractions,1,LO,4,0,0,-1,0,0,0,,,,,
,,PC Med,1,LO,5,0,0,0,0,0,0,,,,,
,,,1,LO,6,0,0,0,1,1,0,,,,,
,,,1,LO,7,1,0,0,0,0,0,,,,,
,,,1,LO,8,0,0,0,0,0,0,,,,,
,,,1,LO,9,1,0,0,0,0,0,,,,,
,,,1,LO,10,0,0,0,0,0,0,,,,,
,,,1,LO,11,0,0,0,0,0,0,,,,,
,,,1,LO,12,0,0,1,0,0,0,,,,,
,,,1,LO,13,1,0,0,0,0,0,,,,,
,,,1,LO,14,-1,0,1,0,0,0,,,,,
,,,1,LO,15,0,0,0,0,0,0,,,,,
,,,1,LO,16,0,0,0,0,0,0,,,,,
,,,1,LO,17,0,0,0,0,1,0,,,,,
,,,1,LO,18,0,0,0,0,1,0,,,,,
,,,1,LO,19,0,0,0,0,0,0,,,,,
,,,1,LO,20,0,0,0,0,1,0,,,,,
,,,1,LO,21,0,0,0,0,0,0,,,,,
,,,1,LO,22,0,0,0,0,0,-1,,,,,
,,,1,LO,23,0,0,0,0,0,0,,,,,
,,,1,LO,24,0,0,0,0,0,0,,,,,
,,,1,LO,25,0,0,0,0,0,0,,,,,
2025_02_06_16_31_42_trial_1_LO,R4_1,Milled trough + attached electrodes,2,LO,1,0,0,0,0,1,0,,,,,
,,20 trials ,2,LO,2,0,0,0,0,-1,0,,,,,
,,20s ITI,2,LO,3,0,0,1,0,0,0,,,,,
,,All CRs are turns or contractions,2,LO,4,0,0,0,0,0,0,,,,,
,,PC Med,2,LO,5,0,0,0,0,0,0,,,,,
,,,2,LO,6,0,0,0,-1,0,0,,,,,
,,,2,LO,7,0,0,0,0,0,0,,,,,
,,,2,LO,8,0,1,0,-1,0,0,,,,,
,,,2,LO,9,0,0,0,-1,0,0,,,,,
,,,2,LO,10,0,-1,0,0,0,0,,,,,
,,,2,LO,11,0,0,0,0,0,0,,,,,
,,,2,LO,12,0,-1,1,0,0,0,,,,,
,,,2,LO,13,0,0,-1,0,0,0,,,,,
,,,2,LO,14,0,0,0,0,0,0,,,,,
,,,2,LO,15,0,-1,0,0,0,0,,,,,
,,,2,LO,16,0,0,0,0,0,0,,,,,
,,,2,LO,17,0,0,0,0,0,0,,,,,
,,,2,LO,18,0,0,0,0,0,0,,,,,
,,,2,LO,19,0,0,0,0,0,0,,,,,
,,,2,LO,20,0,0,0,0,0,0,,,,,
,,,2,LO,21,0,0,-1,0,0,0,,,,,
,,,2,LO,22,0,0,0,0,0,0,,,,,
,,,2,LO,23,0,0,0,0,0,0,,,,,
,,,2,LO,24,0,0,0,0,0,0,,,,,
,,,2,LO,25,0,0,0,0,0,0,,,,,
2025_02_06_16_50_44_trial_1_PC,R4_1,Milled trough + attached electrodes,3,PC,1,0,0,0,0,0,0,,,,,
,,20 trials ,3,PC,2,0,0,0,0,0,0,,,,,
,,20s ITI,3,PC,3,0,0,-1,0,0,0,,,,,
,,0 = no response,3,PC,4,0,0,0,-1,0,0,,,,,
,,1 = head turn,3,PC,5,0,0,0,-1,0,0,,,,,
,,2 = contraction,3,PC,6,0,0,0,0,0,0,,,,,
,,3 = contraction + turn ,3,PC,7,-1,0,-1,0,-1,0,,,,,
,,X = quiescent,3,PC,8,-1,0,-1,0,0,0,,,,,
,,"H = hidden, occluded",3,PC,9,0,0,0,0,0,0,,,,,
,,,3,PC,10,0,0,-1,0,0,0,,,,,
,,,3,PC,11,0,0,0,0,1,0,,,,,
,,,3,PC,12,0,0,-1,0,-1,0,,,,,
,,,3,PC,13,0,0,0,0,0,0,,,,,
,,,3,PC,14,0,0,0,0,0,0,,,,,
,,,3,PC,15,0,0,0,0,0,0,,,,,
,,,3,PC,16,0,0,0,0,0,0,,,,,
,,,3,PC,17,0,0,0,0,0,0,,,,,
,,,3,PC,18,0,0,0,0,0,0,,,,,
,,,3,PC,19,0,0,0,0,0,0,,,,,
,,,3,PC,20,0,0,0,0,0,0,,,,,
,,,3,PC,21,0,0,0,0,0,0,,,,,
,,,3,PC,22,0,0,0,0,0,0,,,,,
,,,3,PC,23,0,0,0,0,0,0,,,,,
,,,3,PC,24,0,0,0,0,0,0,,,,,
,,,3,PC,25,0,0,0,0,0,0,,,,,
2025_02_06_17_08_51_trial_1_PC,R4_1,Milled trough + attached electrodes,4,PC,1,0,0,0,0,0,0,,,,,
,,20 trials ,4,PC,2,0,0,-1,0,0,0,,,,,
,,20s ITI,4,PC,3,0,0,0,0,0,0,,,,,
,,0 = no response,4,PC,4,0,0,1,0,1,0,,,,,
