Run,Troupe,Day,Trial,W1,W2,W3,W4,W5,W6,Notes
,,,4,0,0,1,0,0,0,
,,,5,0,0,0,0,0,0,
,,,6,0,0,1,0,0,0,
,,,7,0,0,0,1,0,0,
,,,8,0,0,1,0,0,0,
,,,9,0,0,0,0,0,0,
,,,10,1,0,0,0,0,1,
,,,11,0,0,0,0,0,0,
,,,12,0,0,1,0,1,0,
,,,13,0,0,0,0,0,0,
,,,14,0,0,0,0,0,0,
,,,15,0,0,0,0,0,0,
,,,16,0,0,0,0,0,1,
,,,17,0,0,0,0,0,0,
,,,18,0,0,0,0,0,0,
,,,19,1,0,0,0,0,0,
,,,20,0,0,0,0,0,0,
2025_02_04_12_38_33,Ph_6,2,1,0,0,0,0,0,0,
,,,2,1,0,1,0,0,1,
,,,3,1,1,0,0,1,1,
,,,4,1,1,0,1,0,1,
,,,5,0,0,0,Q,0,0,
,,,6,0,0,1,Q,0,0,
,,,7,0,0,0,Q,0,0,
,,,8,0,0,0,0,1,0,
,,,9,1,0,0,Q,0,0,
,,,10,0,0,0,1,0,0,
,,,11,0,0,0,1,1,0,
,,,12,0,0,0,1,0,0,
,,,13,1,0,0,Q,0,0,
,,,14,1,0,0,Q,1,0,
,,,15,0,0,0,Q,0,0,
,,,16,0,0,0,Q,0,0,
,,,17,0,0,1,1,0,0,
,,,18,0,0,0,0,0,0,
,,,19,1,0,0,Q,0,0,
,,,20,0,0,0,0,0,0,
