Video_filename,TimestampID,Number_turns,Turn_timestamps,Number_contractions,Contraction_timestamps,Notes
Video_Secretive_Kaput_Mistake/,,4,"6,77,148,254",2,"9,150",
Video_Selective_Sad_Sign/,,1,163,5,"161,193,216,235,258","Worm is somewhat hidden at the beginning of the video, but it doesn't look like there were any contractions."
Video_Shaggy_Stingy_Mythology/,,4,"71,96,164,207",3,"27,43,92",
Video_Shallow_Annoyed_Hammer/,,2,"12,267",1,54,
Video_Sharp_Vivacious_Banking/,,0,,0,,
Video_Shivering_Unsuitable_River/,,2,"149,274",4,"15,32,45,197","The contractions in the beginning were super small, but I think they counted."
Video_Shocking_Accurate_Waveform/,,3,"27,76,109",1,95,
Video_Silent_Nonchalant_Spawn/,,2,"26,176",1,26,
Video_Silly_Lazy_Bunghole/,,1,237,0,,
Video_Skillful_Gabby_Yard/,,0,,0,,
Video_Skinny_Watery_Theory/,,3,"128,236,274",2,"49,243",
Video_Slimy_Fat_Stepmother/,,1,135,1,135,
Video_Slippery_Abundant_Shofar/,,3,"32,92,191",1,19,
Video_Small_Overt_Love/,,5,"51,85,132,258,274",0,,
Video_Smiling_Colossal_Pepper/,,3,"19,57,96",3,"11,53,102",
Video_Somber_Soft_Dancer/,,5,"109,150,178,198,250",2,"205,244",
Video_Splendid_Dull_Ambience/,,1,195,1,197,
Video_Squalid_Lacking_Walker/,,1,62,1,61,
Video_Steady_Credible_City/,,3,"33,134,204",0,,
Video_Succinct_Pleasant_Testament/,,2,"41,195",0,,
Video_Swift_Broad_Stumbling/,,2,"94,274",0,,
Video_Talented_Unequaled_Depot/,,1,80,2,"27,50",
Video_Tangy_Apathetic_Canoe/,,0,,0,,
Video_Tangy_Fascinated_Vibrissae/,,1,61,0,,
Video_Tearful_Learned_Dog/,,0,,1,269,
Video_Temporary_Strange_Jade/,,1,124,0,,
Video_Tender_Flagrant_Casino/,,6,"12,53,101,132,160,223",2,"91,149",
Video_Tenuous_Absorbing_Apartment/,,4,"30,68,140,265",3,"55,77,115",
Video_Thirsty_Muddled_Force/,,1,49,0,,
Video_Tight_Spicy_Threat/,,0,,0,,
Video_Tiresome_Synonymous_Optimal/,,4,"53,133,190,239",1,125,
Video_Troubled_Placid_Thief/,,1,247,0,,
Video_Truculent_Womanly_Lizard/,,7,"95,113,126,136,146,200,000",0,,
Video_Typical_Rare_Efficiency/,,1,274,1,245,
Video_Ugly_Cynical_Judge/,,2,"101,184",0,,
Video_Unarmed_Burly_Series/,,3,"12,78,117",2,"67,117",
Video_Unbecoming_Garrulous_Allowance/,,1,218,0,,
Video_Uttermost_Rotten_Doubling/,,2,"94,186",0,,
Video_Venomous_Tricky_Lock/,,0,,5,"162,213,231,249,269",
Video_Wasteful_Overjoyed_Rise/,,2,"92,144",2,"92,227",
Video_Wet_Enchanting_Macrame/,,3,"40,64,156",1,69,
Video_Wet_Sassy_Nectar/,,2,"239,264",1,220,
Video_Whispering_Hurried_Solution/,,1,233,1,233,
Video_Wiry_Synonymous_Intensity/,,2,"135,168",1,135,
Video_Wonderful_Snobbish_Scientist/,,1,161,0,,
Video_Young_Statuesque_Lemonade/,,2,"231,261",1,238,
Video_Giddy_Placid_Butcher/,,1,155,0,,
