Run,Troupe,Day,Block,Trial,CRturn_W1,CRturn_W2,CRturn_W3,CRturn_W4,CRturn_W5,CRturn_W6,CRcon_W1,CRcon_W2,CRcon_W3,CRcon_W4,CRcon_W5,CRcon_W6,UCRturn_W1,UCRturn_W2,UCRturn_W3,UCRturn_W4,UCRturn_W5,UCRturn_W6,UCRcon_W1,UCRcon_W2,UCRcon_W3,UCRcon_W4,UCRcon_W5,UCRcon_W6,Notes,CRturn_W19,CRcon_W19,CRturn_W9,CRcon_W9,CRturn_W11,CRcon_W11,CRturn_W7,CRcon_W7,CRturn_W10,CRcon_W10,CRturn_W15,CRcon_W15
2025_08_01_14_07_09_trial_1_TC,TC-5,4,8,1,0,1,0,4,0,3,0,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_14_07_09_trial_1_TC,TC-5,4,8,2,0,3,0,1,3,2,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025_08_01_14_07_09_trial_1_TC,TC-5,4,8,3,2,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,W2: quiescent,,,,,,,,,,,,
2025_09_16_10_23_00_trial_1_TP,TP-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_16_10_23_00_trial_1_TP,TP-1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_16_10_23_00_trial_1_TP,TP-1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_16_15_06_14_trial_1_TP,TP-1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_16_15_06_14_trial_1_TP,TP-1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_16_15_06_14_trial_1_TP,TP-1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_10_18_16_trial_1_TP,TP-1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_10_18_16_trial_1_TP,TP-1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_10_18_16_trial_1_TP,TP-1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_14_23_27_trial_1_TP,TP-1,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_14_23_27_trial_1_TP,TP-1,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_14_23_27_trial_1_TP,TP-1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_10_11_39_trial_1_TP,TP-1,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_10_11_39_trial_1_TP,TP-1,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_10_11_39_trial_1_TP,TP-1,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_14_20_24_trial_1_TP,TP-1,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_14_20_24_trial_1_TP,TP-1,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_14_20_24_trial_1_TP,TP-1,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_19_10_16_22_trial_1_TP,TP-1,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_19_10_16_22_trial_1_TP,TP-1,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_19_10_16_22_trial_1_TP,TP-1,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_19_13_34_06_trial_1_TP,TP-1,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_19_13_34_06_trial_1_TP,TP-1,4,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_19_13_34_06_trial_1_TP,TP-1,4,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(No footage),TP-2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(No footage),TP-2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(No footage),TP-2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_16_14_48_45_trial_1_TP,TP-2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_16_14_48_45_trial_1_TP,TP-2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_16_14_48_45_trial_1_TP,TP-2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_10_40_29_trial_1_TP,TP-2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_10_40_29_trial_1_TP,TP-2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_10_40_29_trial_1_TP,TP-2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_14_39_26_trial_1_TP,TP-2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_14_39_26_trial_1_TP,TP-2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_17_14_39_26_trial_1_TP,TP-2,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_10_24_57_trial_1_TP,TP-2,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_10_24_57_trial_1_TP,TP-2,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_10_24_57_trial_1_TP,TP-2,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_14_34_09_trial_1_TP,TP-2,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_14_34_09_trial_1_TP,TP-2,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_18_14_34_09_trial_1_TP,TP-2,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025_09_19_10_27_01_trial_1_TP,TP-2,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
