Run_Date,Start_Time,Run_Name,Species,Group,Troupe,Block,Day,Block_Type,Data_Folder,Last_fed,No. worms,Voltage (V),Current (A),Trough No.,Worm Runner,PP?,Scored?,BDTL?,usable?,BFFs,BFF TF,Notes,Notes from rewatching.,,,,,,,,
20241211,16:26,Pilot_GD_CC_Tr3_Day1_Block2_LO,GD,CC,3,2,1,LO,2024_12_11_16_26_50_trial_1_LO,0,6,12,0.056 A,Collegiate-1,ZK,,,,x,,,25 tri 20 ITI LO.,,,,,,,,,
20241211,16:46,Pilot_GD_CC_Tr3_Day1_Block3_CC,GD,CC,3,3,1,CC,2024_12_11_16_46_53_trial_1_CC,0,6,12,0.056 A,Collegiate-1,ZK,,,,x,,,25 tri 20 ITI CC. ,,,,,,,,,
20241211,17:06,Pilot_GD_CC_Tr3_Day1_Block4_CC,GD,CC,3,4,1,CC,2024_12_11_17_06_56_trial_1_CC,0,6,12,0.056 A,Collegiate-1,ZK,,,,x,,,25 tri 20 ITI CC. ,,,,,,,,,
20241211,18:07,Pilot_GD_CC_TrX1_Day2_Block1_CC,GD,CC,X1,1,2,CC,2024_12_11_18_07_48_trial_1_CC,6,6,12,0.056 A,Collegiate-1,ZK,,,,,,,25 tri 20 ITI CC. Used titanium to keep electrode type same within troupe. ,,,,,,,,,
20241211,18:30,Pilot_GD_CC_TrX1_Day2_Block2_CC,GD,CC,X1,2,2,CC,2024_12_11_18_30_07_trial_1_CC,6,6,12,0.056 A,Collegiate-1,,,,,,,,"25 tri 20 ITI CC. Horribly annoying escape behavior. Suspicion for cause is remnant of slime trails on rims of lanes. In future, clean rims too.",,,,,,,,,
20241211,18:51,Pilot_GD_CC_TrX1_Day2_Block3_CC,GD,CC,X1,3,2,CC,2024_12_11_18_51_54_trial_1_CC,6,6,12,0.056 A,Collegiate-1,ZK,,,,,,,25 tri 20 ITI CC. Used titanium to keep electrode type same within troupe. ,,,,,,,,,
20241212,16:05,Pilot_GD_CC_TrX1_Day3_Block1_CC,GD,CC,X1,1,3,CC,2024_12_12_16_05_05_trial_1_CC,7,6,12,0.056 A,Collegiate-1,MCS,,,,,,,25 tri 20 ITI CC. Used titanium to keep electrode type same within troupe. ,,,,,,,,,
20241212,16:26,Pilot_GD_CC_TrX1_Day3_Block2_CC,GD,CC,X1,2,3,CC,2024_12_12_16_26_34_trial_1_CC,7,6,12,0.056 A,Collegiate-1,MCS,,,,,,,25 tri 20 ITI CC. Used titanium to keep electrode type same within troupe. ,,,,,,,,,
20241212,16:49,Pilot_GD_CC_TrX1_Day3_Block3_CC,GD,CC,X1,3,3,CC,2024_12_12_16_49_52_trial_1_CC,7,6,12,0.056 A,Collegiate-1,MCS,,,,,,,25 tri 20 ITI CC. Used titanium to keep electrode type same within troupe. ,,,,,,,,,
20241212,17:43,Pilot_GD_CC_Tr3_Day2_Block1_CC,GD,CC,3,1,2,CC,2024_12_12_17_43_29_trial_1_CC,1,6,12,0.056 A,Collegiate-1,ZK,,,,x,,,25 tri 20 ITI CC.,,,,,,,,,
20241212,18:04,Pilot_GD_CC_Tr3_Day2_Block2_CC,GD,CC,3,2,2,CC,2024_12_12_18_04_42_trial_1_CC,1,6,12,0.056 A,Collegiate-1,ZK,,,,x,,,25 tri 20 ITI CC. Error when postprocessing,,,,,,,,,
20241212,18:25,Pilot_GD_CC_Tr3_Day2_Block3_CC,GD,CC,3,3,2,CC,2024_12_12_18_25_21_trial_1_CC,1,6,12,0.056 A,Collegiate-1,ZK,,Y,N,x,,,25 tri 20 ITI CC.,,,,,,,,,
20241213,16:58,Pilot_GD_CC_TrX1_Day3_Block1_CC,GD,CC,X1,1,3,CC,2024_12_13_16_58_06_trial_1_CC,8,6,12,0.056 A,Collegiate-1,ZK,,,,,,,25 tri 20 ITI CC. Calib file: confirmed. Titanium electrodes.,,,,,,,,,
20241213,17:19,Pilot_GD_CC_TrX1_Day3_Block2_CC,GD,CC,X1,2,3,CC,2024_12_13_17_19_58_trial_1_CC,8,6,12,0.056 A,Collegiate-1,ZK,,,,,,,25 tri 20 ITI CC,,,,,,,,,
20241219,,Pilot_GD_CC_TrX2_Day1_Block1_CC,GD,CC,X2,1,1,CC,2024_12_23_13_06_58_trial_1_CC,?,6,?,?,Collegiate-1,MCS/ZK,,,,,,,"25 tri 20 ITI CC with the incandescent bulbs. Didn't do a calibration because it was a panic ""do they learn at ALL WITH A BULB"" run. Didn't do LO trials. Just CC.",,,,,,,,,
,,Pilot_GD__Tr_Day_Block_,GD,,,,,,2024_12_23_13_20_26_trial_1_CC,?,6,?,?,Collegiate-1,MCS/ZK,,,,,,,,,,,,,,,,
20250103,11:59,Pilot_GD_CC_TrRave_Day1_Block1_CC,GD,CC,Rave,1,1,CC,2025_01_03_11_59_10_trial_1_CC,[from GD-1],30,12,0.108,Collegiate-1,MCS/ZK,,,,,,,"25 tri 20 ITI CC, incan., alum.",,,,,,,,,
20250103,12:25,Pilot_GD_CC_TrRave_Day1_Block2_CC,GD,CC,Rave,2,1,CC,2025_01_03_12_25_18_trial_1_CC,[from GD-1],30,12,0.108,Collegiate-1,MCS/ZK,,,,,,,"25 tri 20 ITI CC, incan., alum.",,,,,,,,,
20250103,12:45,Pilot_GD_CC_TrRave_Day1_Block3_CC,GD,CC,Rave,3,1,CC,2025_01_03_12_45_01_trial_1_CC,[from GD-1],30,12,0.108,Collegiate-1,MCS/ZK,,,,,,,"25 tri 20 ITI CC, incan., alum.",,,,,,,,,
20250103,13:02,Pilot_GD_CC_TrRave_Day1_Block4_CC,GD,CC,Rave,4,1,CC,2025_01_03_13_02_10_trial_1_CC,[from GD-1],30,12,0.108,Collegiate-1,MCS/ZK,,,,,,,"25 tri 20 ITI CC, incan., alum.",,,,,,,,,
20250103,13:22,Pilot_GD_CC_TrRave_Day1_Block5_CC,GD,CC,Rave,5,1,CC,2025_01_03_13_22_22_trial_1_CC,[from GD-1],30,12,0.108,Collegiate-1,MCS/ZK,,,,,,,"25 tri 20 ITI CC, incan., alum.",,,,,,,,,
20250103,13:49,Pilot_GD_CC_TrRave_Day1_Block6_CC,GD,CC,Rave,6,1,CC,2025_01_03_13_49_18_trial_1_CC,[from GD-1],30,12,0.108,Collegiate-1,MCS/ZK,,,,,,,"25 tri 20 ITI CC, incan., alum. ~15 min break before, to allow de-quiescing. ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250114,14:59,SoundPilot_SM_VO_Tr1_Day1_Block1_VO,SM,VO,1,1,1,VO,2025_01_14_14_59_05_trial_1_LO,?,6,4.8V amp,?,Collegiate-1,MCS,,,,,,,"15 tri 20 ITI LO, 4.87V on 8Ohm 5Watt speaker taped to the exterior trough. Accidentally had them in during initialization Buzz. Waited 10 minutes before the next session which was a CC.",,,,,,,,,
20250114,15:15,SoundPilot_SM_CC_Tr1_Day1_Block1_CC,SM,CC,1,1,1,CC,,?,6,4.8V amp /12V shock,?,Collegiate-1,MCS,,,,,,,"20 tri 20 ITI CC, 4.87V on 8Ohm 5Watt speaker taped to the exterior trough, 12V on the shock. Accidentally, again, had them in during Makie initiation buzz, (remove!!). Let sit 10 minutes before next round of CC.",,,,,,,,,
20250114,,SoundPilot_SM_CC_Tr1_Day1_Block2_CC,SM,CC,1,2,1,CC,,?,6,4.8V amp /12V shock,?,Collegiate-1,MCS,,,,,,,"20 tri 20 ITI CC, 4.87V on 8Ohm 5Watt speaker taped to the exterior trough, 12V on the shock. Accidentally, again, had them in during Makie initiation buzz, (remove!!).",,,,,,,,,
20250114,,SoundPilot_DT_VO_Tr1_Day1_Block1_VO,DT,VO,1,1,1,VO,,,,,,,,,,,,,,,,,,,,,,,
20250114,,SoundPilot_DT_CC_Tr1_Day1_Block1_CC,DT,CC,1,1,1,CC,,,,,,,,,,,,,,,,,,,,,,,
20250114,,SoundPilot_DT_CC_Tr1_Day1_Block2_CC,DT,CC,1,2,1,CC,,,,,,,,,,,,,,,,,,,,,,,
20250115,,SoundPilot_GD_VO_Tr1_Day1_Block1_VO,GD,VO,1,1,1,VO,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250117,,SoundPilot_GD_LO_TrRave #2 (Tortured)_Day1_Block1_LO,GD,LO,Rave #2 (Tortured),1,1,LO,2025_01_17_15_43_57_trial_1_LO,[from GD-1],~18,12,0.108,Petri dish with electrodes,MCS,,,Light reaction,,,,,,,,,,,,,
20250117,,SoundPilot_GD_LO_TrRave #2 (Tortured)_Day1_Block2_LO,GD,LO,Rave #2 (Tortured),2,1,LO,2025_01_17_16_27_07_trial_1_LO,[from GD-1],~18,12,0.108,Petri dish with electrodes,MCS,,,No LR,,,,,,,,,,,,,
20250117,,SoundPilot_GD_LO_TrRave #2 (Tortured)_Day1_Block3_LO,GD,LO,Rave #2 (Tortured),3,1,LO,2025_01_17_16_54_54_trial_1_LO,[from GD-1],~18,12,0.108,Petri dish with electrodes,MCS,,,No LR,,,,,,,,,,,,,
20250117,,SoundPilot_GD_CC_TrRave #2 (Tortured)_Day1_Block4_CC,GD,CC,Rave #2 (Tortured),4,1,CC,2025_01_17_17_09_16_trial_1_CC,[from GD-1],~18,12,0.108,Petri dish with electrodes,MCS,,,No ,,,,,,,,,,,,,
20250117,,SoundPilot_GD_CC_TrRave #2 (Tortured)_Day1_Block5_CC,GD,CC,Rave #2 (Tortured),5,1,CC,2025_01_17_17_29_02_trial_1_CC,[from GD-1],~18,12,0.108,Petri dish with electrodes,MCS,,,Maybe...?,,,,,,,,,,,,,
...,...,SoundPilot_..._..._Tr..._Day..._Block..._...,...,...,...,...,...,...,...,...,...,...,...,...,...,,...,...,,,,...,,,,,,,,,
20250123,15:14,SoundPilot_GD_CC_TrRave #2 (Tortured)_Day1_Block1_VO,GD,CC,Rave #2 (Tortured),1,1,VO,2025_01_23_15_14_15_trial_1_LO,,,,,Petri dish with electrodes,ZK,,,,,,,,,,,,,,,,
20250123,15:34,SoundPilot_GD_CC_TrRave #2 (Tortured)_Day1_Block1_VO,GD,CC,Rave #2 (Tortured),1,1,VO,2025_01_23_15_34_24_trial_1_LO,,,,,Petri dish with electrodes,ZK,,,,,,,,,,,,,,,,
20250123,15:54,SoundPilot_GD_CC_TrRave #2 (Tortured)_Day1_Block3_CC,GD,CC,Rave #2 (Tortured),3,1,CC,2025_01_23_15_54_36_trial_1_CC,,,,,Petri dish with electrodes,ZK,,,,,,,,,,,,,,,,
20250123,16:14,SoundPilot_GD_CC_TrRave #2 (Tortured)_Day1_Block4_CC,GD,CC,Rave #2 (Tortured),4,1,CC,2025_01_23_16_14_02_trial_1_CC,,,,,Petri dish with electrodes,ZK,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250124,12:08,SoundPilot_GD_VO_TrVib_Tr_2_Day1_Block1_VO,GD,VO,Vib_Tr_2,1,1,VO,2025_01_24_12_08_10_trial_1_LO,[from GD-1],15,2.56V vib / 11.9 shock,-,Petri dish with electrodes,MCS,,,,,,,,These are the Vib Tr2 in red petri dish,,,,,,,,
20250124,12:29,SoundPilot_GD_VO_TrVib_Tr_2_Day1_Block2_VO,GD,VO,Vib_Tr_2,2,1,VO,2025_01_24_12_29_29_trial_1_LO,[from GD-1],15,2.56V vib / 11.9 shock,-,Petri dish with electrodes,MCS,,,,,,,,,,,,,,,,
20250124,12:47,SoundPilot_GD_VO_TrVib_Tr_2_Day1_Block3_LO,GD,VO,Vib_Tr_2,3,1,LO,2025_01_24_12_47_29_trial_1_LO,1,12,,,,,X,,,,,,20 sec ITI,,,,,,,,,
20250124,13:12,SoundPilot_GD_VO_TrVib_Tr_2_Day1_Block4_LO,GD,VO,Vib_Tr_2,4,1,LO,2025_01_24_13_12_34_trial_1_LO,1,12,,,,,X,,,,,,20 sec ITI,,,,,,,,,
20250124,13:56,SoundPilot_GD_CC_TrNot_So_Traumatized_Day3_Block1_CC,GD,CC,Not_So_Traumatized,1,3,CC,2025_01_24_13_56_02_trial_1_CC,,14?,11.8,,Petri dish with electrodes,ZK,X,,,,,,"20 sec ITI, 3 sec ISI",,,,,,,,,
20250124,14:15,SoundPilot_GD_CC_TrNot_So_Traumatized_Day3_Block2_CC,GD,CC,Not_So_Traumatized,2,3,CC,2025_01_24_14_15_44_trial_1_CC,,,11.8,,Petri dish with electrodes,ZK,X,,,,,,"20 sec ITI, 3 sec ISI",,,,,,,,,
20250124,15:43,SoundPilot_GD_VO_TrVib_Tr_2_Day1_Block5_CC,GD,VO,Vib_Tr_2,5,1,CC,2025_01_24_15_43_30_trial_1_CC,1,12,11.95,,Milled,ZK,wip,,,,,,"40 sec ITI, 3 sec ISI. PP needs rework for 40 ITI",,,,,,,,,
20250124,16:16,SoundPilot_GD_VO_TrVib_Tr_2_Day1_Block6_CC,GD,VO,Vib_Tr_2,6,1,CC,2025_01_24_16_16_05_trial_1_CC,1,12,11.95,,Milled,ZK,wip,,,,,,"40 sec ITI, 3 sec ISI. PP needs rework fro 40 ITI",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250130,,Pilot_GD_LO_TrPhenoTest_1_Day1_Block1_LO,GD,LO,PhenoTest_1,1,1,LO,2025_01_30_16_22_07_trial_1_LO,TBD; source GD-1,6,NA,NA,Milled + electrodes,MCS,,,,,,,"Calibrated with 55 on the big pipette in each well using 5s ITI LO paradigm. 60 sec ITI, 3 sec ISI. 25 trials. 1 worm taken from each well in the 6-well stock plate. Put in 1-X holding zone wells after assay. ",,,,,,,,,
20250131,14:57,Pilot_GD_LO_TrPhenoTest_2_Day1_Block1_LO,GD,LO,PhenoTest_2,1,1,LO,2025_01_31_14_57_10_trial_1_LO,TBD; source GD-1,6,NA,NA,Milled + electrodes,ZK,"X,N",,,,,,20 tri 60 ITI. Slimed with 4 worms per lane for 30 mins. Worm #2 was MIA presumed dead upon extraction. Removed to Holding Wells 1-1 thru 1-6.,,,,,,,,,
20250131,17:10,Pilot_GD_LO_TrPhenoTest_3_Day1_Block1_LO,GD,LO,PhenoTest_3,1,1,LO,2025_01_31_17_10_05_trial_1_LO,TBD; source GD-1,6,NA,NA,Milled + electrodes,ZK,"X,N",,,,,,"20 tri 60 ITI. Slimed with 4 worms per lane for 44 mins. Removed to Holding Wells 2-1 thru 2-6. Lane 6 contains 2 worms (my bad), I think they're distinguishable by size. ",,,,,,,,,
20250203,10:30,Pilot_GD_LO_TrPhenoTest_4_Day1_Block1_LO,GD,LO,PhenoTest_4,1,1,LO,2025_02_03_10_30_35_trial_1_LO,TBD; source GD-1,6,NA,NA,Milled + electrodes,MCS,,,,,,,"20 tri 60 ITI. Slimed with entire slime crew (4+ per lane) for 30 minutes before. Removed to Holding Wells 3-1 thru 3-6. (phenotest4,5,6 share 4's calibration file)",,,,,,,,,
20250203,11:34,Pilot_GD_LO_TrPhenoTest_5_Day1_Block1_LO,GD,LO,PhenoTest_5,1,1,LO,2025_02_03_11_34_02_trial_1_LO,TBD; source GD-1,6,NA,NA,Milled + electrodes,MCS,,,,,,,20 tri 60 ITI. Put in immediately after previous phenotest batch. Removed to Holding Wells 4-1 thru 4-6.,,,,,,,,,
20250203,12:10,Pilot_GD_LO_TrPhenoTest_6_Day1_Block1_LO,GD,LO,PhenoTest_6,1,1,LO,2025_02_03_12_10_50_trial_1_LO,TBD; source GD-1,6,NA,NA,Milled + electrodes,MCS,,,,,,,20 tri 60 ITI. Put in immediately after previous phenotest batch. Removed to Holding Wells 5-1 thru 5-6.,,,,,,,,,
20250203,15:12,Pilot_GD_LO_TrPhenoTest_1_Day2_Block1_LO,GD,LO,PhenoTest_1,1,2,LO,2025_02_03_15_12_40_trial_1_LO,TBD; source GD-1,6,NA,NA,Milled + electrodes,ZK,"X,N",,,,,,20 tri 60 ITI. Put in immediately after previous phenotest batch. Removed to Holding Wells 1-1 thru 1-6.,,,,,,,,,
20250203,15:58,Pilot_GD_LO_TrPhenoTest_2_Day2_Block1_LO,GD,LO,PhenoTest_2,1,2,LO,2025_02_03_15_58_35_trial_1_LO,TBD; source GD-1,6,NA,NA,Milled + electrodes,ZK,"X,N",,,,,,20 tri 60 ITI. Put in immediately after previous phenotest batch. Removed to Holding Wells 2-1 thru 2-6. No Worm#2 because I killed it last week.,,,,,,,,,
20250203,16:45,Pilot_GD_LO_TrPhenoTest_3_Day2_Block1_LO,GD,LO,PhenoTest_3,1,2,LO,2025_02_03_16_45_21_trial_1_LO,TBD; source GD-1,6,NA,NA,Milled + electrodes,ZK,"X,N",,,,,,20 tri 60 ITI. Put in immediately after previous phenotest batch. Removed to Holding Wells 3-1 thru 3-6. Worm #3 was placed in lane but seems to have disappeared.,,,,,,,,,
20250204,9:38,Pilot_GD_LO_TrPhenoTest_5_Day2_Block1_LO,GD,LO,PhenoTest_5,1,2,LO,2025_02_04_09_38_33_trial_1_LO,TBD; source GD-1,6,NA,NA,Milled + electrodes,MCS,"X,N",,,,,,20 tri 60 ITI. Cleaned trough and slimed for 30 minutes beforehand.,,,,,,,,,
20250204,12:38,Pilot_GD_LO_TrPhenoTest_6_Day2_Block1_LO,GD,LO,PhenoTest_6,1,2,LO,2025_02_04_12_38_33_trial_1_LO,TBD; source GD-1,6,NA,NA,Milled + electrodes,MCS,,,,,,,20 tri 60 ITI. Cleaned trough and slimed for 30 minutes beforehand.,,,,,,,,,
